ofi_insc;prov_insc;cant_insc;parr_insc;anio_insc;mes_insc;dia_insc;fecha_insc;anio_div;mes_div;dia_div;fecha_div;anio_mat;mes_mat;dia_mat;fecha_mat;mcapbie;dur_mat;cau_div;nac_hom;cod_paish;anio_nach;mes_nach;dia_nach;fecha_nach;edad_hom;hijos_hom;p_etnica_hom;sabe_leerh;niv_insth;prov_habh;cant_habh;parr_habh;area_hom;nac_muj;cod_paism;anio_nacm;mes_nacm;dia_nacm;fecha_nacm;edad_muj;hijos_muj;p_etnica_muj;sabe_leerm;niv_instm;prov_habm;cant_habm;parr_habm;area_muj
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;14;1/14/2016;2015;Diciembre;17;12/17/2015;2007;Marzo;19;3/19/2007;Se ignora;8;10;Ecuatoriano;EC;1977;2;27;2/27/1977;38;0;Mestizo;Si;Secundaria;Guayas;Guayaquil;Guayaquil, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1988;6;12;06/12/1988;27;2;Mestiza;Si;Superior;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;15;1/15/2016;2015;Diciembre;9;12/09/2015;2009;Abril;28;4/28/2009;Si;6;10;Ecuatoriano;EC;1989;11;5;11/05/1989;26;0;Mestizo;Si;Secundaria;Loja;Macara;Macara, cabecera cantonal;Urbana;Ecuatoriana;EC;1990;9;29;9/29/1990;25;1;Mestiza;Si;Secundaria;El Oro;Machala;Machala;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;15;1/15/2016;2015;Diciembre;30;12/30/2015;2012;Mayo;11;05/11/2012;No;3;1;Ecuatoriano;EC;1987;3;9;03/09/1987;28;0;Mestizo;Si;Superior;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1992;7;7;07/07/1992;23;1;Mestiza;Si;Secundaria;Loja;Saraguro;Saraguro, cabecera cantonal;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;4;01/04/2016;2015;Diciembre;4;12/04/2015;2010;Marzo;25;3/25/2010;No;5;1;Ecuatoriano;EC;1984;8;16;8/16/1984;31;0;Mestizo;Si;Primaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1989;4;28;4/28/1989;26;2;Mestiza;Si;Superior;Loja;Loja;El Sagrario;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;21;1/21/2016;2015;Diciembre;15;12/15/2015;2008;Diciembre;18;12/18/2008;No;7;1;Ecuatoriano;EC;1990;6;17;6/17/1990;25;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1992;3;15;3/15/1992;23;2;Mestiza;Si;Secundaria;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;15;2/15/2016;2015;Diciembre;18;12/18/2015;2011;Diciembre;9;12/09/2011;No;4;1;Ecuatoriano;EC;1990;1;31;1/31/1990;26;0;Mestizo;Si;Secundaria;Loja;Saraguro;Lluzhapa;Rural;Ecuatoriana;EC;1992;8;16;8/16/1992;23;2;Mestiza;Si;Primaria;Loja;Saraguro;Manu;Rural
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;12;01/12/2016;2015;Diciembre;7;12/07/2015;2005;Noviembre;11;11/11/2005;No;10;1;Ecuatoriano;EC;1968;9;19;9/19/1968;47;0;Mestizo;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1984;7;9;07/09/1984;31;0;Mestiza;Si;Secundaria;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Noviembre;25;11/25/2016;2015;Diciembre;4;12/04/2015;1987;Junio;24;6/24/1987;No;29;1;Ecuatoriano;EC;1966;1;6;01/06/1966;50;0;Mestizo;Si;Ciclo posbachillerato;Azuay;Cuenca;Hermano Miguel;Urbana;Ecuatoriana;EC;1961;6;19;6/19/1961;55;1;Mestiza;Si;Primaria;Loja;Loja;Valle;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Enero;13;1/13/2016;2015;Diciembre;3;12/03/2015;2001;Julio;31;7/31/2001;Se ignora;14;1;Ecuatoriano;EC;1980;7;12;07/12/1980;35;0;Mestizo;Si;Secundaria;Loja;Loja;Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1978;2;18;2/18/1978;37;3;Mestiza;Si;Secundaria;Loja;Loja;Sucre;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;10;02/10/2016;2015;Diciembre;25;12/25/2015;2003;Octubre;15;10/15/2003;No;12;10;Ecuatoriano;EC;1978;6;19;6/19/1978;37;0;Mestizo;Si;Secundaria;Sucumbios;Lago Agrio;Nueva Loja, cabecera cantonal y capital provincial;Urbana;Ecuatoriana;EC;1978;8;28;8/28/1978;37;1;Mestiza;Si;Ciclo postbachillerato;Pichincha;Quito;Carcelen;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Septiembre;5;09/05/2016;2015;Enero;23;1/23/2015;1985;Mayo;9;05/09/1985;No;31;10;Ecuatoriano;EC;1967;7;2;07/02/1967;49;0;Mestizo;Si;Secundaria;Loja;Loja;Sucre;Urbana;Ecuatoriana;EC;1967;3;29;3/29/1967;49;0;Mestiza;Si;Secundaria;Pichincha;Quito;Quito Distrito Metropolitano, cabecera cantonal, capital provincial;Urbana
1;Loja;Loja;Loja, cabecera cantonal y capital provincial;2016;Febrero;4;02/04/2016;2015;Enero;19;1/19/2015;2011;Marzo;25;3/25/2011;No;4;10;Ecuatoriano;EC;1978;4;8;04/08/1978;37;0;Mestizo;Si;Secundaria;Loja;Loja;Valle;Urbana;Ecuatoriana;EC;1980;1;4;01/04/1980;36;0;Mestiza;Si;Secundaria;Loja;Loja;Valle;Urbana
